tid,nazev,verejnost
23915,Rekreační x Ondrova,1
23993,Pastrnkova x Tomáškova,1
23790,Hálkova 2,0
20866,Tkalcovská 3 - vnitroblok,1
12100,Provazníkova  49,1
11992,Nám. SNP 25,1
11594,Bieblova  20,1
11679,Elgartova x Netušilova,1
11680,Elgartova x Netušilova,1
12005,Nováčkova 2,1
11950,Merhautova 13,1
18237,Durďákova 12,1
11664,Durďákova x Helfertova,1
25122,Foltýnova 21,1
21858,Bieblova 24,1
21637,Durďákova 68,1
14021,Janouškova 2 - TŘÍĎOUN,0
11595,Bieblova 24,1
11949,Merhautova 114,1
12540,Merhautova  51,1
11715,Helfertova x Černopolní,1
11716,Helfertova x Černopolní,1
11706,Hansmannova 2,1
11794,Jugoslávská x Provazníkova,1
11795,Jugoslávská x Provazníkova,1
11792,Jugoslávská x Zemědělská,1
11793,Jugoslávská x Zemědělská,1
23919,Pflégrova x Sládkova,1
22309,Elgartova x Netušilova,1
24744,Lýskova 19,1
23308,Fantova 13,1
21997,Vondrákova 8,1
25044,Hodonínská 1,1
12003,Nopova x Škrochova,1
12004,Nopova x Škrochova,1
12656,Stará Osada x Svatoplukova,1
19446,Tuháčkova 25 - TŘÍĎOUN,0
23330,Kuršova 4,1
25534,Opálkova 5,1
25066,Kluchova 1,1
23375,Rakovecká 75-77,1
23389,Čtvrtě 2,1
25077,Přeh. Osada,1
23380,Obřanská 214,1
23464,Zvěřinova 11a,1
12365,Zemědělská x Lesnická,1
12236,Tůmova x Zábranského,1
23489,Klímova 16,1
25539,Černovická 2c,1
23391,Březinova x Tichého,1
25099,Turgeněvova 9,1
26312,Absolonova x Hlavní,1
23902,Zvěřinova x Hladíkova,1
21780,Hodonínská 21,1
21839,Za mostem 8,1
21781,Za mostem 16,1
12438,Hodonínská 1,1
21837,Za mostem 16,1
21840,Schwaigrova 17,1
11726,Hodonínská 3,1
12246,U Vlečky 2,1
18658,Za školou 3,1
11915,Lomená 36e,1
12497,Klášterského - parkoviště,1
11745,Chleborádova x Havránkova,1
12498,Klášterského - parkoviště,1
12642,Schwaigrova 2,1
11914,Lomená 36e,1
23697,Černého 45,1
16079,Sokolova 4 - TŘÍĎOUN,0
12783,Kšírova x u viaduktu,1
12464,Jahodová x Pastevní,1
12621,Rebešovická - konečná MHD,1
18016,V aleji 120,1
23095,Hvězdová 5,1
12512,Kšírova 150,1
11878,Kšírova 150,1
12782,Kšírova x u viaduktu,1
25047,Štefánikova 23,1
22639,Vychodilova 10,1
25045,Schwaigrova 2,1
12434,Havránkova 100a,1
12194,Šmejkalova x Zeleného,1
25127,Rotalova 33,1
24808,Schwaigrova 23-27,1
17139,Lipská 6,1
