X,Y,ObjectId,tid,stanoviste_ogc_fid,typ_odpad_separovany,komodita_odpad_separovany,objem,cyklus_vyvozu,majitel,vyvoz_1,vyvoz_2,vyvoz_3,vyvoz_4,vyvoz_5,vyvoz_6,vyvoz_7,vyvoz_1_zacatek,vyvoz_2_zacatek,vyvoz_3_zacatek,vyvoz_4_zacatek,vyvoz_5_zacatek,vyvoz_6_zacatek,vyvoz_7_zacatek,vyvoz_1_interval,vyvoz_2_interval,vyvoz_3_interval,vyvoz_4_interval,vyvoz_5_interval,vyvoz_6_interval,vyvoz_7_interval,nazev,ulice,cp,verejnost,datum_exportu,GlobalID
1839939.2944,6314750.8399,1,23914,2769,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,3x týdně,SAKO,N,N,A,N,A,N,A,,,2021/06/02 00:00:00+00,,2021/02/05 00:00:00+00,,2022/11/13 00:00:00+00,,,7,,7,,7,Rekreační x Ondrova,Ondrova,159,A,2023/04/19 00:00:00+00,{DBC988FE-B833-4C35-BF7A-97C4B7268FE0}
1839918.4109,6312587.6507,2,22185,2425,,Textil,1000,1x týdně,SAKO,A,N,N,N,N,N,N,2019/01/07 00:00:00+00,,,,,,,7,,,,,,,Vondrákova  13 - ALBERT,Vondrákova,825,A,2023/04/19 00:00:00+00,{DAB1665C-BD45-4BA1-8E57-29DBDF478439}
1846670.8063,6311572.8298,3,22194,3238,,Textil,1000,1x týdně,SAKO,A,N,N,N,N,N,N,2019/01/07 00:00:00+00,,,,,,,7,,,,,,,Jana Babáka x Tererova,Tererova,1862,A,2023/04/19 00:00:00+00,{CC232BFE-E0C4-4515-B4D0-B8420694A419}
1839328.6513,6311525.249,4,22200,3638,,Textil,1000,1x týdně,SAKO,A,N,N,N,N,N,N,2019/01/07 00:00:00+00,,,,,,,7,,,,,,,Černého 52,Černého,803,A,2023/04/19 00:00:00+00,{8E0DD0DE-D558-47E7-A424-4C5B36C7FCA5}
1847015.4625,6305530.3384,5,18809,8216,,Papír,240,1x týdně,SAKO,N,N,N,A,N,N,N,,,,2020/01/30 00:00:00+00,,,,,,,7,,,,Rovná 9 - v domě,Rovná,429,N,2023/04/19 00:00:00+00,{2CDFEF7C-A44E-49B4-9F5A-E087B5F293E8}
1849448.8732,6307979.5283,6,24002,9962,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",240,1x týdně,SAKO,A,N,N,N,N,N,N,2019/04/22 00:00:00+00,,,,,,,7,,,,,,,Divadelní 6 - v domě,Divadelní,614,N,2023/04/19 00:00:00+00,{E9C63463-FC1D-4CCC-BD27-CF2C4107C7B4}
1856293.3855,6310148.9463,7,11460,2858,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,2x týdně,EKO-KOM,A,N,N,A,N,N,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,,,7,,,7,,,,Synkova 12,Synkova,2097,A,2023/04/19 00:00:00+00,{7AAD2152-B615-4A53-B8D7-548D2F7EE7C5}
1856760.0257,6310681.5176,8,21177,2862,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,2x týdně,SAKO,A,N,N,A,N,N,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,,,7,,,7,,,,Kotlanova 5,Elplova,2468,A,2023/04/19 00:00:00+00,{213C7C93-7E6F-45D5-BC5C-60B269A0F55B}
1839737.7171,6304823.1255,9,23954,2412,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,2x týdně,SAKO,N,A,N,N,A,N,N,,2021/02/02 00:00:00+00,,,2021/02/05 00:00:00+00,,,,7,,,7,,,Vzhledná 62,Vzhledná,108,A,2023/04/19 00:00:00+00,{23CBEB1E-8D4E-44E3-BBD5-83758772DCC4}
1850053.0931,6312999.7154,10,12231,2592,,Papír,1100,3x týdně,SAKO,A,N,N,A,N,A,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,2021/02/06 00:00:00+00,,7,,,7,,7,,Třískalova 1,Třískalova,566,A,2023/04/19 00:00:00+00,{4FB2DDEA-3087-4CD0-A52F-46BD198DFB8A}
